id,tytul,program,status,region,operator,data_od,data_do,dofinansowanie_proc,kwota_max,typ_firmy,bur,nabor_ciagly,wiarygodnosc,do_3h_od_poznania,url,pierwsze_wykrycie,ostatnia_weryfikacja,nowy,zmieniony
270c37bab7a36ee5,Lubuskie Bony Rozwojowe – szkolenia i doradztwo dla firm,BUR,aktywny,lubuskie,Zachodnia Izba Przemysłowo-Handlowa / Agencja Rozwoju Regionalnego S.A.,2022-04-13,2029-12-01,85,100000,"mikro, średnie, duże, małe",tak,True,wysoka,tak,https://www.lubuskiebony.pl/files/documentation/3191105688/regulamin-naboru-i-uczestnictwa-w-projekcie-wersja-obowiazujaca-od-18-lutego-2026-r.pdf,2026-08-19,2026-08-19,True,False
b602a95960937cbe,WARP – Usługi rozwojowe dla Twojego biznesu,BUR,aktywny,wielkopolskie,WARP,2023-12-13,2026-06-02,70,60000,"mikro, średnie, małe",tak,True,wysoka,tak,https://warp.org.pl/dotacje/przedsiebiorca/uslugi-rozwojowe-dla-twojego-biznesu/wazne-informacje-ub/,2026-08-17,2026-08-17,True,False
05075791666392cb,Subregion kaliski inwestuje w kadry,BUR,aktywny,wielkopolskie,Kaliski Inkubator Przedsiębiorczości,2024-01-15,2028-12-29,70,55000,"mikro, średnie, duże",tak,True,wysoka,tak,https://inkubator.kalisz.pl/finansujemy/dofinansowania-do-szkolen/subregion-kaliski-inwestuje-w-kadry-nowa-edycja-2024/,2026-08-19,2026-08-19,True,False
5ac7cd474eb51439,ZARR – usługi rozwojowe dla MMŚP,BUR,aktywny,zachodniopomorskie,Zachodniopomorska Agencja Rozwoju Regionalnego,2024-02-01,2027-01-31,80,200000,"mikro, średnie, małe",tak,True,wysoka,częściowo,http://www.zarr.com.pl/oferta/uslugi-rozwojowe-3/,2026-08-19,2026-08-19,True,False
78d3bae8f1a3344c,Szkolenia i doradztwo FERS 1.3 Usługi Rozwojowe 4.0 – oferta dla dostawców usług BUR Poprawa jakości usług świadczonych przez podmioty zarejestrowane w Bazie Usług Rozwojowych (BUR) poprzez dofinansowanie zakupu licencji i szkoleń/doradztwa niezbędnych do wprowadzenia na rynek nowych usług. Nabór ko,FERS,aktywny,Polska,PARP – Akademia HR,2024-02-12,2026-08-31,80,,"mikro, średnie, duże",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/uslugi-rozwojowe-4-0---oferta-dla-dostawcow-uslug-bur,2026-08-17,2026-08-17,False,True
44aeff4a03ca0d59,Akademia HR – oferta dla przedsiębiorców,FERS,aktywny,Polska,PARP – Akademia HR,2024-03-25,2026-11-30,,,"mikro, średnie, duże",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/akademia-hr-oferta-dla-przedsiebiorcow,2026-08-17,2026-08-17,False,True
c8147866e129b2df,Wsparcie firm w okresowych trudnościach – oferta dla przedsiębiorców,FERS,aktywny,Polska,PARP – wsparcie firm,2024-05-20,2027-04-30,,154384,"mikro, średnie, duże, małe",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/wsparcie-firm-w-okresowych-trudnosciach---oferta-dla-przedsiebiorcow,2026-08-17,2026-08-17,False,True
10fbbc6123692e65,Dostępność Dyrektywa EAA – oferta dla przedsiębiorców,FERS,aktywny,Polska,PARP – Dostępność EAA,2025-01-01,2027-12-31,,,"mikro, średnie, duże",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/dostepnosc-dyrektywa-eaa---oferta-dla-przedsiebiorcow,2026-08-17,2026-08-17,False,True
26517ee0f559a307,Granty na Eurogranty,FENG,aktywny,Polska,PARP – FENG,2025-07-08,2026-09-03,,,"mikro, średnie, małe",nieokreślone,False,wysoka,nie,https://feng.parp.gov.pl/component/grants/grants/granty-na-eurogranty-1,2026-08-17,2026-08-17,False,True
0502824a2d83c1e6,CERTES Spółka z ograniczoną odpowiedzialnością Solidne fundamenty - wsparcie rozwoju kwalifikacji i kompetencji kadr sektora Budownictwo. Dofinansowanie na usługi rozwojowe w sektorze budownictwa. Nabór kończy się 31 grudnia 2028,krajowe,aktywny,Polska,PARP – kompetencje sektorowe,2026-01-01,2028-12-31,,,do weryfikacji,nieokreślone,False,wysoka,nie,https://certes-solidnefundamenty.pl/,2026-08-17,2026-08-17,False,True
